City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,agramunt,41.7869,1.0968,280.81,73,38,0.35,ES,1709073356
238,ancud,-41.8697,-73.8203,287.58,96,92,4.7,CL,1709073357
239,inari,68.906,27.0288,271.26,90,94,5.81,FI,1709073358
240,labrador city,52.9463,-66.9114,266.1,68,75,3.6,CA,1709073359
241,lianshan,40.7643,120.8533,268.86,83,28,3.89,CN,1709073360
242,al burayqah,30.4062,19.5739,290.11,35,18,8.31,LY,1709073361
243,choyr,46.3611,108.3611,246.28,92,38,3.44,MN,1709073362
244,kenai,60.5544,-151.2583,272.2,68,0,0.0,US,1709073363
245,aksu,41.1231,80.2644,272.36,63,31,1.85,CN,1709073364
246,aykhal,66.0,111.5,254.6,98,100,3.14,RU,1709073365
247,suva,-18.1416,178.4415,303.86,74,40,1.03,FJ,1709073365
248,tazovsky,67.4667,78.7,267.77,96,100,3.47,RU,1709073144
249,margate,51.3813,1.3862,279.88,81,93,1.79,GB,1709073263
250,hassi messaoud,31.6804,6.0729,285.07,35,5,2.57,DZ,1709073368
251,olinda,-8.0089,-34.8553,299.0,94,40,1.03,BR,1709073369
252,touros,-5.1989,-35.4608,298.88,88,93,4.25,BR,1709073370
253,nagqu,31.5,92.0,268.4,35,100,7.93,CN,1709073371
254,mata-utu,-13.2816,-176.1745,302.39,76,20,5.31,WF,1709073372
255,extrema,-22.8547,-46.3183,294.39,92,93,1.31,BR,1709073373
256,gambiran satu,-8.3939,114.1464,297.03,94,73,1.15,ID,1709073374
257,luwuk,-0.9516,122.7875,299.85,74,85,1.4,ID,1709073375
258,manismata,-2.4667,111.0333,296.83,99,71,0.7,ID,1709073376
259,kostanay,53.1667,63.5833,257.31,85,0,2.0,KZ,1709073172
260,papao,-17.75,-149.55,302.96,77,17,4.04,PF,1709073377
261,kalugumalai,9.15,77.7167,297.22,76,66,2.24,IN,1709073378
262,mccook,40.2019,-100.6257,270.18,58,100,9.26,US,1709073379
263,saipan,15.1355,145.701,299.54,73,20,2.57,MP,1709073380
264,namibe,-15.1961,12.1522,296.85,74,100,1.05,AO,1709073381
265,anadyr,64.75,177.4833,248.43,75,72,12.0,RU,1709073382
266,ketchikan,55.3422,-131.6461,273.14,93,100,5.66,US,1709073383
267,eyl,7.9803,49.8164,297.94,71,54,5.21,SO,1709073384
268,quila,24.4228,-107.22,303.07,24,74,4.55,MX,1709073384
269,calvinia,-31.4707,19.776,293.13,20,0,4.66,ZA,1709073386
270,nova xavantina,-14.6667,-52.35,300.11,58,85,0.96,BR,1709073387
271,piriapolis,-34.8682,-55.2744,297.24,81,20,2.57,UY,1709073138
272,prokuplje,43.2342,21.5881,283.75,75,100,1.67,RS,1709073389
273,moyynkum,44.2914,72.9469,267.48,68,0,7.18,KZ,1709073390
274,volkhov,59.9258,32.3382,273.42,99,100,0.39,RU,1709073390
275,nhlangano,-27.1167,31.2,286.86,92,100,0.3,SZ,1709073391
276,xam nua,20.4197,104.0439,285.76,99,19,1.08,LA,1709073392
277,mermoz boabab,14.7065,-17.4758,295.46,88,1,4.12,SN,1709073393
278,spanish wells,26.323,-81.7957,297.17,62,0,6.17,US,1709073394
279,mitu,1.1983,-70.1733,297.51,86,99,0.76,CO,1709073395
280,akureyri,65.6835,-18.0878,269.11,74,75,10.29,IS,1709073396
281,beaufort west,-32.3567,22.583,287.58,61,0,5.38,ZA,1709073397
282,san luis de la loma,17.2706,-100.8939,301.2,58,0,4.44,MX,1709073397
283,ulsteinvik,62.3432,5.8487,279.65,81,48,9.39,NO,1709073398
284,caleta de carquin,-11.0925,-77.6267,297.7,81,39,5.15,PE,1709073399
285,broome,42.2506,-75.833,287.54,68,75,8.75,US,1709073400
286,klyuchi,52.2667,79.1667,259.43,98,91,3.23,RU,1709073401
287,santana,-0.0583,-51.1817,299.25,83,75,1.54,BR,1709073402
288,sao vicente,-23.9631,-46.3919,308.25,26,99,0.89,BR,1709073403
289,illizi,26.4833,8.4667,289.04,12,0,2.74,DZ,1709073404
290,durban,-29.8579,31.0292,292.66,70,62,2.96,ZA,1709073405
291,kidal,18.4411,1.4078,300.29,12,2,3.78,ML,1709073405
292,san juan de miraflores,-12.1629,-76.9635,297.44,86,96,4.26,PE,1709073407
293,ephrata,40.1798,-76.1788,286.07,79,100,1.34,US,1709073408
294,bridgewater,44.3835,-64.5155,276.3,100,40,3.6,CA,1709073409
295,ormara,25.2088,64.6357,295.34,50,36,1.78,PK,1709073410
296,brookings,44.3114,-96.7984,260.43,72,75,9.26,US,1709073264
297,nuevo casas grandes,30.4167,-107.9167,288.34,47,100,11.87,MX,1709073411
298,mascara,35.3966,0.1403,279.66,77,99,7.16,DZ,1709073412
299,bukama,-9.2,25.85,293.06,94,98,0.42,CD,1709073413
300,side,36.7667,31.3885,287.43,66,0,1.5,TR,1709073414
301,saint-pierre,-21.3393,55.4781,296.97,83,0,2.06,RE,1709073415
302,merizo village,13.2658,144.6691,300.0,84,55,7.15,GU,1709073417
303,roosevelt,33.9668,-103.4505,296.27,18,98,13.87,US,1709073417
304,pisz,53.6274,21.8125,283.81,96,99,0.77,PL,1709073418
305,wuxue,29.8506,115.5525,278.26,89,100,1.45,CN,1709073419
306,al bayda,32.7627,21.7551,284.35,69,100,10.14,LY,1709073420
307,riverside,33.7333,-116.0508,295.59,34,0,1.54,US,1709073421
308,vargashi,55.3556,65.8467,262.09,85,81,4.27,RU,1709073422
309,happy valley-goose bay,53.3168,-60.3315,268.32,46,20,3.09,CA,1709073396
310,east london,-33.0153,27.9116,292.17,70,79,3.44,ZA,1709073268
311,ranot,7.7777,100.3213,301.26,70,80,8.61,TH,1709073425
312,luderitz,-26.6481,15.1594,290.55,83,1,1.34,NA,1709073425
313,west end,26.6833,-78.9667,296.14,64,1,4.74,BS,1709073426
314,sittwe,20.15,92.9,294.49,46,0,3.42,MM,1709073427
315,mil'kovo,55.6078,37.7956,269.45,90,87,3.97,RU,1709073428
316,lagos,6.5833,3.75,302.33,87,82,2.47,NG,1709073303
317,vilyuchinsk,52.9306,158.4028,259.3,69,100,2.34,RU,1709073430
318,selizharovo,56.8519,33.4487,272.47,89,97,3.92,RU,1709073431
319,petropavlovsk-kamchatsky,53.0452,158.6483,258.48,77,40,6.0,RU,1709073432
320,yonggwang-up,40.0183,127.4547,271.39,75,21,1.46,KP,1709073433
321,mezzouna,34.5776,9.8419,285.49,58,90,2.74,TN,1709073433
322,ola,59.5833,151.2833,249.43,92,27,2.37,RU,1709073434
323,columbia falls,48.3725,-114.1815,272.49,68,40,0.0,US,1709073435
324,sotuta,20.6,-89.0167,305.69,27,1,2.75,MX,1709073436
325,sao jose da coroa grande,-8.8978,-35.1478,300.27,78,86,3.66,BR,1709073437
326,santa luzia,-19.7697,-43.8514,301.65,65,20,2.06,BR,1709073438
327,lospalos,-8.5186,127.0025,297.55,89,99,3.57,TL,1709073439
